Date,Open,High,Low,Close,Adj Close,Volume,MA5
24-06-2024,6.21,6.69,6.06,6.69,6.69,12842333,6.033
21-06-2024,5.88,6.06,5.52,5.85,5.85,16055433,5.994
20-06-2024,4.86,5.625,4.77,5.52,5.52,16816533,5.91
18-06-2024,5.52,5.55,5.1,5.16,5.16,6489367,5.796
17-06-2024,5.4,5.67,5.31,5.52,5.52,3967100,5.748
14-06-2024,5.61,5.79,5.37,5.43,5.43,5959000,5.496
13-06-2024,5.7,5.91,5.64,5.67,5.67,4588367,5.46
12-06-2024,6.315,6.36,5.91,6.06,6.06,5616800,5.568
11-06-2024,6.48,6.78,6.36,6.54,6.54,4308967,5.844
10-06-2024,6.63,6.99,6.33,6.465,6.465,6234733,6.033
07-06-2024,6.675,6.87,6.48,6.57,6.57,4175000,6.261
06-06-2024,6.27,6.84,6.069,6.54,6.54,7741300,6.435
05-06-2024,6.885,6.99,6.39,6.42,6.42,4483567,6.507
04-06-2024,7.26,7.44,7.11,7.125,7.125,3354833,6.624
03-06-2024,7.5,7.68,7.29,7.32,7.32,3690133,6.795
31-05-2024,7.68,8.475,7.65,8.07,8.07,5896300,7.095
30-05-2024,7.425,8.07,7.29,7.965,7.965,4333400,7.38
29-05-2024,7.68,7.92,7.32,7.41,7.41,3801500,7.578
28-05-2024,8.13,8.22,7.41,7.47,7.47,4364900,7.647
24-05-2024,9.12,9.39,8.76,8.76,8.76,2392667,7.935
23-05-2024,9.69,9.75,8.67,9.255,9.255,5577767,8.172
22-05-2024,11.22,11.736,11.1,11.355,11.355,2932167,8.85
21-05-2024,11.67,11.769,11.25,11.25,11.25,1132933,9.618
20-05-2024,11.67,11.73,11.28,11.385,11.385,1203767,10.401
17-05-2024,11.52,12.135,11.445,11.97,11.97,1236667,11.043
16-05-2024,11.385,11.565,11.16,11.49,11.49,1403367,11.49
15-05-2024,12.015,12.24,11.37,11.43,11.43,2122833,11.505
14-05-2024,12.81,12.99,12.24,12.36,12.36,1482133,11.727
13-05-2024,12.555,13.11,12.414,12.57,12.57,1832033,11.964
10-05-2024,12.6,12.93,12.27,12.72,12.72,1651267,12.114
09-05-2024,12.54,13.2,12.42,13.08,13.08,1810233,12.432
08-05-2024,12.81,12.855,12.36,12.6,12.6,1541867,12.666
07-05-2024,12.45,12.96,12.24,12.555,12.555,2288200,12.705
06-05-2024,12.96,13.02,12.117,12.135,12.135,1550200,12.618
03-05-2024,13.44,13.65,12.96,13.11,13.11,1963700,12.696
02-05-2024,14.595,15.03,13.95,14.1,14.1,1469933,12.9
01-05-2024,14.4,15.66,14.16,15.105,15.105,4044167,13.401
30-04-2024,13.74,14.01,13.26,13.995,13.995,1813900,13.689
29-04-2024,13.62,14.34,13.524,13.59,13.59,1332000,13.98
26-04-2024,15.06,15.21,13.38,13.53,13.53,1981700,14.064
25-04-2024,17.1,17.34,15.21,15.51,15.51,2861267,14.346
24-04-2024,15.06,16.89,15.03,16.74,16.74,1936800,14.673
23-04-2024,16.41,16.596,15.51,15.63,15.63,1242100,15
22-04-2024,17.64,18.45,16.68,16.92,16.92,1987733,15.666
19-04-2024,16.08,18.75,15.54,18.51,18.51,2788067,16.662
18-04-2024,15.36,16.23,14.88,15.45,15.45,1036400,16.65
17-04-2024,14.25,15.66,14.1,15.63,15.63,1160300,16.428
16-04-2024,14.88,15,14.28,14.55,14.55,1175267,16.212
15-04-2024,14.01,15.03,13.53,15.03,15.03,1202467,15.834
12-04-2024,13.86,14.517,13.74,14.295,14.295,1237133,14.991
